time,latitude,longitude,depth,mag,mag_type,nst,gap,dmin,rms,net,id,updated,place,type,horizontal_error,depth_error,mag_error,mag_nst,status,location_source,mag_source
2021-01-12T23:13:05.740Z,33.5245,-116.6911667,8,0.03,ml,12,75,0.03861,0.18,ci,ci39755432,2021-01-12T23:16:33.383Z,"4km SSW of Anza, CA",earthquake,0.43,0.87,0.117,4,automatic,ci,ci
2021-01-12T22:57:11.460Z,18.6593,-65.2973,68,3.84,md,25,300,0.6173,0.32,pr,pr2021012019,2021-01-13T00:28:10.918Z,"39 km N of Culebra, Puerto Rico",earthquake,2.28,2.71,0.12,21,reviewed,pr,pr
2021-01-12T22:56:48.310Z,38.3921,22.0653,10,4.7,mb,,38,0.662,0.93,us,us6000d7w3,2021-01-12T23:18:04.089Z,"11 km NNE of Kamárai, Greece",earthquake,5.4,1.9,0.078,50,reviewed,us,us
2021-01-12T22:35:49.430Z,33.8525,-117.4901667,0.71,1.41,ml,30,48,0.05134,0.26,ci,ci39755352,2021-01-12T22:39:44.563Z,"4km SE of Home Gardens, CA",quarry blast,0.43,31.61,0.32,35,automatic,ci,ci
2021-01-12T22:33:04.870Z,37.1141667,-119.7831667,19.71,1.68,md,5,119,0.08941,0.05,nc,nc73510140,2021-01-12T23:36:03.628Z,"9km S of Yosemite Lakes, CA",earthquake,0.74,0.72,0.165,5,reviewed,nc,nc
2021-01-12T22:29:38.949Z,38.3789,22.0337,10,4.7,mb,,37,0.683,0.87,us,us6000d7vx,2021-01-12T22:54:12.187Z,"9 km NNE of Kamárai, Greece",earthquake,5.9,1.9,0.076,53,reviewed,us,us
2021-01-12T22:10:30.400Z,17.9248,-66.8446,12,2.3,md,17,222,0.0611,0.14,pr,pr2021012018,2021-01-12T22:40:44.704Z,"7 km SE of Maria Antonia, Puerto Rico",earthquake,0.64,0.39,0.2,5,reviewed,pr,pr
2021-01-12T22:09:57.519Z,38.4304,22.0513,10,5.2,mww,,36,0.63,1.15,us,us6000d7vr,2021-01-13T00:27:41.666Z,"15 km NNE of Kamárai, Greece",earthquake,5.7,1.8,0.075,17,reviewed,us,us
2021-01-12T21:58:37.049Z,35.99016667,-96.563,0,1.41,ml,33,121,0.07918446131,0.44,ok,ok2021avua,2021-01-12T22:17:13.045Z,"3 km E of Drumright, Oklahoma",quarry blast,,0.4,0.25,4,reviewed,ok,ok
2021-01-12T21:55:33.216Z,51.2648,100.3397,10,4.4,mb,,100,2.107,0.72,us,us6000d7vm,2021-01-12T22:23:36.040Z,"35 km SW of Turt, Mongolia",earthquake,9.2,1.9,0.127,18,reviewed,us,us
